Dataset,Triformer,TimesNet,PatchTST,Non-stationary Transformers,NLinear,Linear,Informer,FiLM,FEDformer,DLinear,Xgboost,TiDE,TCN,AutoTheta,AutoETS,AutoCES,RNN1,Random Forest,N-HiTS,N-BEATS,Naive Seasonal,Naive Moving Average,Naive Mean,Naive Drift,Linear Regression,Kalman Filter,RNN,Arima,Crossformer,LightGBM
Seasonality_False,2.013302191492955e+16,974866017.9866977,967861552.6608791,5989622.61340006,3341679919926565.5,3696694570.7164006,979211963.1509358,956219345.6689504,961703063.0975562,1696087954568621.5,1.5144973166714998e+16,2324655952167105.0,2922621928718266.5,2531188606462525.0,2494219407146092.5,2785191038923727.0,2.2185308591401484e+16,2031494519717861.5,1469491342429670.5,1681097446592594.2,2546157465567248.5,2546157465567248.5,1.5163551579132096e+16,2518019913009812.0,2408743275195472.5,2543952076543750.0,2.0133021915005676e+16,2503241742559904.5,3009371459.867265,73018.24605129752
Seasonality_True,8264.91175541238,2206.7595162915404,2108.1105563207802,2979.0379132185026,3142.488614039293,7613.13727215209,2387.8479508820096,2191.0476451917793,2355.275216612018,2498.3348250060753,1904.855735922605,4488.7152579948415,8624.807510871424,3883.946344771273,4216.656930038391,2995.121572488689,14471.68944918221,1980.2561858342674,2003.6662840255856,2157.9500839675943,4156.593333956912,4156.593333956912,4759.813443410181,4289.423909617062,8363919745868.279,4367.637545557637,12831.831172303242,2349.3217219499893,12835.90887128035,3011.5305152077217
freq_Daily,6.716886219621259e+16,3253864535.7705183,3230487575.177949,19774499.9531072,1.114869089179853e+16,12337753389.018623,3268381496.9239244,3191605248.163642,3209908601.6691093,5658579152973551.0,5.0527467754962536e+16,7755641252377160.0,9750607255369222.0,8444686516405099.0,8321347900594019.0,8888907570831397.0,6.716886219646599e+16,6777580436037944.0,4902595441962460.0,5608567019502012.0,8494626423167252.0,8494626423167252.0,5.058945004568181e+16,8400752418502565.0,7965799828014526.0,8487268686386084.0,6.716886219646599e+16,8351448697548742.0,10043657882.986048,
freq_Hourly,806.3901270313637,206.0640308518889,311.20635155876545,490.16914091502423,333.55619286547324,792.7069309530956,380.3448312166462,412.4601789361619,332.27305486664716,330.3272949611099,320.64725917374824,330.67133637260673,1239.6940932117266,887.5978953517086,884.5457211238964,,4375.413288017727,281.30516861083373,280.91843751834926,270.01655092221307,883.7829352187135,883.7829352187135,824.0687558868668,887.8935162232796,204.28310298418177,979.4557908950147,4363.936404966275,624.7752308304098,4371.2120239328,
freq_Monthly,898015.3096812605,46736.83343017823,40643.74118175761,57757.3222548206,58795.53966942914,951430.9503915848,35345.298550751184,60916.19925402978,58128.459548281724,11784.090644229254,7571.8585886801875,361298.270366867,1166719.083075228,138201.5212548551,166486.603026404,164583.90906985063,899595.245541421,6953.079783028007,286207.349670822,670924.3637868824,9597.483506934908,9597.483506934908,245438.47351243356,139243.2689697239,237485979985.89136,193793.4407373791,899591.798593866,136263.52547499526,899596.6141187259,96563.35340088786
freq_Other,12075.789162379846,4308.061658080737,4904.011887460961,4849.736372465171,5070.33344099193,13196.06957080646,4640.144712947542,5249.524359707818,5402.488065509229,5325.820315212215,5785.1663102647,3713.738789275288,12918.835998836867,5059.969964772679,4706.067738516562,3963.629229930804,36400.66741485231,5523.716910418273,3335.4134046298245,3344.230376108606,5287.596333653979,5287.596333653979,8983.453505207295,4961.4286796832985,4573.691141841593,4471.8594956725665,36228.47760479127,4854.481241455979,36220.32925720776,
freq_Quarterly,8140.565948603294,1161.1358509558463,1168.5216040191276,1719.6973690538823,2397.381670591742,9102.919156833143,1362.2465643232351,1263.3795650218397,1695.5752682675316,1748.4850143017597,1380.8708463373869,1430.1168535210372,8887.744818576884,1702.5793492138944,1760.8661612994667,1792.2386386047608,8238.458354444589,1362.0771997078314,1256.5241712331574,1281.0054603274593,2082.0966201890487,2082.0966201890487,3495.2903119921752,2082.5198017575062,1256.2202358195366,1830.484755680649,8226.660447433578,1123.0454126804989,8226.407486689897,2104.424302668096
freq_Weekly,1323.2271994487523,139.457146572217,160.62928271111087,133.91958391962822,179.46293639623644,552.038454028905,150.947767288502,167.0381531942732,166.85102478432395,205.26814705219277,184.56190978578817,164.58740486498732,673.5809615464481,168.47743066611875,164.5404505084309,178.92871645108002,2326.067591783383,174.54857007313052,145.5418124622744,155.9990499101456,173.62749828679415,173.62749828679415,1152.4872526796894,174.64035910320746,396.30735531562965,173.9609263070733,2323.6413640977576,162.9262517767723,2327.234917963477,208.5696898078681
freq_Yearly,97869.52811187295,20432.79272972782,24092.55719586581,30375.320972209196,22190.55410430833,107345.01401202467,22329.078551029907,23782.88428856714,27149.63365286166,26404.719479387626,22077.91108295249,38236.0969256279,113400.38249795079,17822.03175273409,18983.079000137182,17665.01117447233,232401.12274969052,22247.094025092956,13885.378018820156,12784.150918842015,23128.91558209665,23128.91558209665,59010.80147170501,19147.286270521843,86742531355280.03,36994.85958748631,97873.49749185373,18221.59368876519,97874.37536594358,54134.97749785281
Trend_False,3232052.356702398,1086767.2842736181,1105446.6605332706,1706333.017834738,1348027.3911004537,4160209.9962809435,988022.1100039643,1126523.9308498395,1109416.5886592544,1426723.2997036218,945081.3818609721,1081613.911821121,1515703.9957364164,729262.6861879228,998024.2581423321,816129.944376703,3518791.419106445,1620437.957543029,928555.1984973517,806661.3102622741,700559.9243177141,700559.9243177141,2311536.690692471,700206.1613938735,27315178131813.105,887986.6037932142,3288114.943907418,1226062.278744364,3288116.9222406256,1655.7774464873187
