Dataset,Triformer,TimesNet,PatchTST,Non-stationary Transformers,NLinear,Linear,Informer,FiLM,FEDformer,DLinear,Xgboost,TiDE,TCN,AutoTheta,AutoETS,AutoCES,RNN1,Random Forest,N-HiTS,N-BEATS,Naive Seasonal,Naive Moving Average,Naive Mean,Naive Drift,Linear Regression,Kalman Filter,RNN,Arima,Crossformer,LightGBM
Seasonality_False,94.6546406231121,25.97001525123162,27.592534336968193,30.29918976469189,34.15250894586611,85.96260358210459,27.522940541149676,29.248563145683214,38.76238049689187,37.28249464851336,62.24259486880256,52.20169642807257,98.37700409908618,33.524255249782364,31.92776627696795,23.56888981079814,140.80041277297187,61.53630691291463,37.95292872015279,36.55190396476123,27.442228165638696,27.442228165638696,487.57097472841616,48.958682427167616,397742921761.5802,35.07282271499476,101.117947803023,93.15793873469791,104.63765766576347,30.70576339565112
Seasonality_True,65.07233499288702,10.788966943397845,12.085369093112595,15.309118943988329,18.452905168749858,62.31845363733969,14.223304013919021,13.367723426183204,14.339174763459123,15.438528257174378,12.306983603865739,16.00290543726789,76.80138285718336,20.74932587364134,22.092752423587488,18.012791037818364,88.40743743061397,12.085523823619539,12.45069741095572,12.258465981804246,21.947900454930565,21.947900454930565,36.18160972064419,22.209399179965974,40332056940.65141,37.40264734084525,86.55301223739193,16.454220240463094,87.8101340439693,15.961709635653305
freq_Daily,101.84767161349339,31.906816341750158,36.10991704010413,41.66824764060485,46.74988026700921,69.19428045275137,35.93689163344599,36.10047069871353,69.01970745862334,62.871092564417644,140.08397596986924,67.96348518218305,84.10915472930348,57.04323372452591,47.12488942877529,28.292974601249234,222.46336672669094,143.20387193516186,64.93062213495446,65.65349077234055,33.94544676137546,33.94544676137546,1502.1098095146642,101.45994624657222,187.52309450409425,28.112016763704084,112.86688347291799,251.19194206997776,121.67294243317818,
freq_Hourly,35.48670548291771,23.89121648550218,24.402409129141418,32.82930427752787,29.927968232564805,33.13371925627025,27.731110543651436,26.68802431442526,26.20116620436613,26.521779092560248,28.957452961894724,31.95208307357919,41.56120542095029,42.43409637442297,45.81692083887426,,75.01311358171293,24.105320471863095,24.04436129947591,21.972700393917524,42.599659668434214,42.599659668434214,55.461308351968505,42.812265997263324,30.395563969902895,50.95609255460899,50.136713618552946,33.471616730591805,53.91054982285325,
freq_Monthly,66.68602274655312,13.974849055802077,14.070617170705196,17.424986121666223,21.61043281099712,53.91194368663213,15.940380857552002,14.621743019207658,14.719987221818467,16.348360193311827,15.669193847851123,20.844540112121383,85.05179065351096,18.651444847824497,22.32900051705807,18.27313296850984,97.27208958156707,14.52958983671339,16.969594167113698,14.855870749376146,21.63082988373102,21.63082988373102,26.585992372785142,22.771666017530194,44841758314.86962,17.859760789072144,97.45838024932561,16.243460639116716,97.74970951836548,16.580739180284137
freq_Other,65.7293397857698,10.621513742529947,11.786954311388468,13.913668409174637,16.761402694474064,75.21060845230873,10.637595645535585,14.893076783282789,14.676925920464402,14.691867959534807,13.19700543646613,10.690222495106411,73.63306660891966,15.681571355280782,16.28871233570616,12.825519692744868,80.16570606354215,13.092004437347633,10.324165405138396,10.081955430795329,16.729293731281587,16.729293731281587,38.54688368850027,16.044764168293437,12.631407706677958,14.754438927980246,79.7590557219704,13.053065937159056,83.46207765671164,
freq_Quarterly,97.22996576626718,14.947319212927157,15.587520449573235,18.114329457127248,22.690748641544015,107.48626495836002,15.95294702684536,17.539278032202144,18.490809515855673,20.000037353973536,18.07710172400043,21.141400565065958,108.21778248409515,17.334150722536982,18.4260453345356,18.007792823061905,99.69517806048724,17.222230773800927,17.611714466223376,16.25934308755126,18.490915322049652,18.490915322049652,34.64884958392801,18.892874267464105,17.962833399667087,19.135665596698527,99.5612416674446,15.526228144577956,99.53020206552173,23.93173925615643
freq_Weekly,74.53998991840282,27.712597251484276,28.547582697093997,31.719952271144347,36.98491490075709,51.09080848383305,28.717096964551367,33.40352178879683,29.14086161744623,30.702635521470736,34.31839596562179,37.07375247451426,55.04521194420007,29.517250029576395,29.867576708477245,30.570000510348848,99.03174488445293,32.5847575390306,30.569843739690803,30.647735221097534,31.06703445290522,31.06703445290522,68.90238738247028,33.30840068125954,1339.3730737716114,28.66224725608515,91.39552131391454,29.831358920292622,97.69411560731801,33.0297266560181
freq_Yearly,99.8183147600915,19.344560201751875,21.39963896902932,19.29162420903904,22.27842439478233,108.41336021944531,21.75601365519213,23.216451346313917,23.867889849150412,23.30268850873052,22.153066871404583,57.165102778832924,121.44444635645269,20.18528106896939,20.33144080455952,21.832338938681136,99.94830142847056,21.42412700132327,21.620158655822127,20.82773980401363,20.363789158192656,20.363789158192656,36.36567262782053,21.245229886177007,1292212060167.82,81.43055527434737,99.29913414119997,21.630206497417277,99.41383057237985,32.72884278381023
Trend_False,93.60773564065609,31.873273923568288,32.94914941539342,39.1452242905007,45.59285046714953,84.93762640153065,34.120888879005456,35.06707341975763,47.63241348779292,45.48372912500672,81.5693560012974,56.25145643692922,98.71295191441182,41.69707951616924,46.15596253939677,33.145907966476685,151.84983090500523,81.06375052444972,46.30674399255258,45.32821474990366,39.695315359386825,39.695315359386825,73.13039393425525,41.16923554456153,519048141660.3489,42.45615313776232,97.7836302217742,55.41009711664239,102.69358038453387,30.487277572551367
Trend_True,74.8138144666335,10.404255984802782,12.255105567509071,12.237260452023822,13.601884005536279,70.25798330265496,12.69452332807692,13.263461869106573,14.24423528319825,15.13502138219673,11.129803341955641,23.470053513365297,82.98777753952338,17.75121752892677,13.155032940975323,12.662599764117216,93.93464958844653,10.595380345966818,13.116251531026265,12.208763663446154,13.359037114160865,13.359037114160865,517.6866126856443,36.73415474236691,46128284479.285194,30.53658209387295,93.70402638593197,71.01721751720414,94.47556115087704,21.35524756893807
Stationarity_False,75.60671765888546,12.128397067064148,13.96917554704728,14.302909013866435,16.78869096127291,72.39303818421617,14.63204244556951,15.148048249081098,15.997168830039369,16.97207976889375,13.229870289063147,24.264030940016372,85.6697640533931,14.841003445986921,15.44176235010031,15.169282364177949,92.96279177671113,12.589187789509088,14.395388573479922,13.498517230127767,15.780458097995597,15.780458097995597,39.121630623041426,16.175688794124216,422624515819.46686,30.370472115764013,93.47655701885351,13.448151244342034,94.44223452174775,22.765670639238035
Stationarity_True,95.9482468682108,33.22095993801851,34.16364671012289,40.97994917699018,46.59895106143507,84.30955264725598,35.114541723768795,36.219289418873146,51.2329152089228,48.36088840909947,91.75462562423948,61.28872999837701,97.3993044555781,51.03412056342731,48.815897271357976,33.611200504736054,164.63188718646208,91.4268220556383,50.63651614479367,49.627072447879314,40.851157549946386,40.851157549946386,763.0998388182987,75.34930447694438,427.62995980988256,45.024967264198594,98.93939729890403,145.65748985498072,104.3330331371796,29.34327031179849
Transition_False,86.35295124310862,11.228875866216137,12.67198564541806,13.981083793047556,15.070935003899947,83.1630838808415,12.67007522394119,13.89401834284341,17.51978235496457,17.57889219013049,24.56993561381046,29.611615995950558,95.42924297420588,13.257943978185848,15.20923342500368,12.627010149797343,111.72561264849357,25.822156662449594,16.363798465698753,16.335008222194382,15.426565338799769,15.426565338799769,46.533663525819755,15.221315872011882,779776315001.198,36.39513886494665,99.32051648468533,16.127421097379347,100.15552371296549,23.99776506359998
Transition_True,81.86271828996196,24.68964824251806,26.215444116243667,29.668094520140215,34.76322724643469,73.80209639089324,27.378891028552367,27.875837900628863,35.45546384687175,34.680519316234346,52.57847549538727,42.81668196874124,87.48076672249724,36.410820035328896,34.712797737363665,26.785298150733396,126.37968486319588,51.16295882606869,34.20211374246681,32.80295074769376,30.347249114111086,30.347249114111086,450.883803036806,50.617291484360855,146316.6668900174,35.74322581520935,93.66522802886911,88.01739145851262,97.2385908574964,25.461083114431283
