Dataset-Quantity-metrics,Timer,UniTS,TTM,GPT4TS,UniTime,PatchTST,Dlinear,FITS,iTransformer,FedFormer,TimesNet,TimeMixer
contact-text,Yong Liu,Shanghua Gao,Vijay Ekambaram,Tian Zhou,Xu Liu,Yuqi Nie (Princeton),Ailing Zeng (CUHK),,,Tian Zhou (Alibaba),Mingsheng Long (THU),
contact-url,liuyong21@mails.tsinghua.edu.cn,shanghua_gao@hms.harvard.edu,vijaye12@in.ibm.com,tian.zt@alibaba-inc.com,liuxu@comp.nus.edu.sg,ynie@princeton.edu,zengailing@idea.edu.cn,,,tian.zt@alibaba-inc.com,mingsheng@tsinghua.edu.cn,
paper-url,https://openreview.net/forum?id=bYRYb7DMNo,https://arxiv.org/abs/2403.00131,https://arxiv.org/abs/2401.03955,https://openreview.net/forum?id=gMS6FVZvmF,https://dl.acm.org/doi/10.1145/3589334.3645434,https://openreview.net/forum?id=Jbdc0vTOcol,https://ojs.aaai.org/index.php/AAAI/article/view/26317,[2307.03756] FITS: Modeling Time Series with $10k$ Parameters,https://arxiv.org/abs/2310.06625,https://proceedings.mlr.press/v162/zhou22g.html,https://arxiv.org/pdf/2210.02186v2/1000,https://arxiv.org/abs/2405.14616
code-url,https://github.com/thuml/Large-Time-Series-Model?tab=readme-ov-file#code-for-fine-tuning,https://github.com/mims-harvard/UniTS,https://github.com/ibm-granite/granite-tsfm/tree/ttm,https://github.com/DAMO-DI-ML/NeurIPS2023-One-Fits-All,https://github.com/liuxu77/UniTime,https://github.com/PatchTST/PatchTST,,,,https://github.com/MAZiqing/FEDformer,https://github.com/thuml/TimesNet,
publication,ICML,arXiv,arXiv,NeurIPS,WWW,ICLR,AAAI,ICLR,ICLR,ICML,ICLR,ICLR
bib,https://dblp.uni-trier.de/rec/conf/icml/LiuZLH0L24.html?view=bibtex,,https://dblp.uni-trier.de/rec/journals/corr/abs-2401-03955.html?view=bibtex,https://dblp.uni-trier.de/rec/conf/nips/ZhouNW0023.html?view=bibtex,,https://dblp.org/rec/conf/iclr/NieNSK23.html?view=bibtex,https://dblp.org/rec/conf/aaai/ZengCZ023.html?view=bibtex,https://dblp.org/rec/journals/corr/abs-2307-03756.html?view=bibtex,https://dblp.org/rec/journals/corr/abs-2310-06625.html?view=bibtex,https://dblp.org/rec/conf/icml/ZhouMWW0022.html?view=bibtex,https://dblp.org/rec/conf/iclr/WuHLZ0L23.html?view=bibtex,https://dblp.org/rec/journals/corr/abs-2405-14616.html?view=bibtex
year,2024,2024,2024,2023,2024,2023,2023,2024,2024,2022,2023,2024
parameters,67397735,3459007,805287,65380704,108541488,3751520,64704,12928,841568,16827399,605479,1648601
Electricity/ETTh1-96-mae,0.423,0.421,0.39,0.397,0.413,0.396,0.392,0.396,0.405,0.419,0.412,0.401
Electricity/ETTh1-96-mse,0.416,0.399,0.359,0.373,0.392,0.376,0.371,0.376,0.386,0.379,0.389,0.373
Electricity/ETTh1-192-mae,0.489,0.445,0.408,0.428,0.478,0.416,0.413,0.418,0.44,0.443,0.443,0.425
Electricity/ETTh1-192-mse,0.557,0.441,0.389,0.421,0.487,0.399,0.404,0.4,0.424,0.419,0.44,0.415
Electricity/ETTh1-336-mae,0.48,0.493,0.422,0.437,0.489,0.432,0.435,0.435,0.46,0.464,0.465,0.453
Electricity/ETTh1-336-mse,0.502,0.503,0.418,0.428,0.504,0.418,0.434,0.419,0.449,0.455,0.482,0.454
Electricity/ETTh1-720-mae,0.5,0.484,0.439,0.483,0.552,0.469,0.489,0.458,0.487,0.488,0.483,0.481
Electricity/ETTh1-720-mse,0.525,0.468,0.422,0.459,0.617,0.45,0.469,0.435,0.495,0.474,0.525,0.501
Environment/Weather-96-mae,0.21,0.203,0.195,0.205,0.205,0.196,0.23,0.225,0.208,0.292,0.219,0.198
Environment/Weather-96-mse,0.164,0.147,0.146,0.154,0.153,0.149,0.17,0.172,0.159,0.223,0.17,0.147
Environment/Weather-192-mae,0.287,0.244,0.237,0.246,0.244,0.24,0.267,0.261,0.248,0.322,0.264,0.243
Environment/Weather-192-mse,0.243,0.191,0.19,0.2,0.197,0.193,0.212,0.215,0.2,0.252,0.222,0.192
Environment/Weather-336-mae,0.338,0.286,0.333,0.287,0.285,0.281,0.305,0.295,0.289,0.371,0.31,0.284
Environment/Weather-336-mse,0.321,0.243,0.292,0.251,0.25,0.244,0.257,0.261,0.253,0.327,0.293,0.247
Environment/Weather-720-mae,0.346,0.337,0.373,0.333,0.334,0.332,0.356,0.341,0.338,0.419,0.355,0.33
Environment/Weather-720-mse,0.349,0.317,0.359,0.316,0.319,0.314,0.318,0.326,0.321,0.424,0.36,0.318
Economic/Exchange-96-mae,0.228,0.411,0.2,0.245,0.231,0.2,0.204,0.199,0.208,0.267,0.238,0.207
Economic/Exchange-96-mse,0.104,0.444,0.082,0.117,0.105,0.083,0.082,0.082,0.086,0.136,0.109,0.084
Economic/Exchange-192-mae,0.336,0.451,0.297,0.348,0.344,0.298,0.325,0.295,0.299,0.353,0.163,0.3
Economic/Exchange-192-mse,0.221,0.507,0.173,0.232,0.221,0.176,0.186,0.173,0.177,0.239,0.213,0.178
Economic/Exchange-336-mae,0.448,0.522,0.408,0.508,0.466,0.397,0.435,0.406,0.417,0.486,0.298,0.45
Economic/Exchange-336-mse,0.382,0.489,0.317,0.463,0.403,0.301,0.328,0.317,0.331,0.438,0.358,0.386
Economic/Exchange-720-mae,0.73,0.756,0.682,0.783,0.762,0.693,0.679,0.684,0.693,0.811,0.797,0.707
Economic/Exchange-720-mse,0.965,0.997,0.824,1.086,1.018,0.847,0.801,0.825,0.846,1.117,1.004,0.884
Nature/ZafNoo-96-mae,0.416,0.411,0.389,0.414,0.419,0.426,0.411,0.442,0.431,0.441,0.424,0.396
Nature/ZafNoo-96-mse,0.47,0.444,0.421,0.443,0.448,0.444,0.434,0.454,0.462,0.475,0.479,0.441
Nature/ZafNoo-192-mae,0.456,0.451,0.428,0.448,0.452,0.456,0.444,0.455,0.464,0.476,0.446,0.444
Nature/ZafNoo-192-mse,0.548,0.507,0.482,0.499,0.503,0.498,0.484,0.509,0.517,0.544,0.491,0.498
Nature/ZafNoo-336-mae,0.479,0.479,0.464,0.468,0.475,0.48,0.464,0.477,0.486,0.521,0.479,0.479
Nature/ZafNoo-336-mse,0.588,0.563,0.543,0.536,0.543,0.53,0.518,0.55,0.556,0.595,0.551,0.545
Nature/ZafNoo-720-mae,0.505,0.498,0.497,0.498,0.498,0.499,0.486,0.501,0.509,0.543,0.511,0.498
Nature/ZafNoo-720-mse,0.637,0.602,0.604,0.579,0.585,0.574,0.548,0.593,0.606,0.697,0.627,0.587
Health/ILI-96-mae,2.391,1.235,1.512,1.365,1.433,0.835,1.031,1.002,0.846,1.02,0.926,0.82
Health/ILI-96-mse,9.554,2.983,4.313,3.627,3.835,1.84,2.208,2.182,1.783,2.4,2.009,1.807
Health/ILI-192-mae,1.638,1.26,1.559,1.354,1.467,0.845,0.981,1.051,0.86,1.005,0.997,0.927
Health/ILI-192-mse,5.203,3.119,4.631,3.625,3.917,1.724,2.032,2.33,1.746,2.41,2.552,1.896
Health/ILI-336-mae,1.027,1.181,1.506,1.455,1.134,0.863,1.063,1.184,0.898,1.033,0.919,0.866
Health/ILI-336-mse,2.325,2.765,4.422,3.833,2.691,1.762,2.209,2.761,1.716,2.592,1.956,1.753
Health/ILI-720-mae,1.897,1.106,1.468,1.472,1.15,0.894,1.086,1.127,0.977,1.07,0.962,0.93
Health/ILI-720-mse,6.151,2.513,4.268,3.972,2.752,1.752,2.292,2.929,1.96,2.539,2.178,1.828
Stock/NASDAQ-96-mae,0.715,0.674,0.806,0.784,0.661,0.567,0.666,0.645,0.54,0.547,0.563,0.612
Stock/NASDAQ-96-mse,0.815,0.792,1.047,1.003,0.772,0.649,0.83,0.709,0.57,0.627,0.563,0.72
Stock/NASDAQ-192-mae,0.784,0.783,0.885,0.844,0.769,0.682,0.862,0.778,0.632,0.659,0.687,0.699
Stock/NASDAQ-192-mse,1.221,1.094,1.329,1.219,1.081,0.821,1.356,1.058,0.769,0.885,0.905,0.951
Stock/NASDAQ-336-mae,0.842,0.874,0.924,0.855,0.835,0.793,0.99,0.834,0.773,0.786,0.783,0.795
Stock/NASDAQ-336-mse,1.441,1.452,1.544,1.281,1.278,1.169,1.817,1.255,1.188,1.139,1.218,1.214
Stock/NASDAQ-720-mae,0.856,0.848,0.925,0.83,0.842,0.828,0.104,0.833,0.846,0.783,0.781,0.884
Stock/NASDAQ-720-mse,1.517,1.364,1.61,1.206,1.264,1.268,2.011,1.258,1.422,1.251,1.298,1.682
