Dataset,nums,PatchTST,Crossformer,FEDformer,Non-stationary Transformers,Informer,Triformer,DLinear,NLinear,TiDE,N-BEATS,N-HiTS,TimesNet,TCN,RNN,FiLM,Linear Regression,Random forests,Xgboost,ARIMA,ETS,Kalman Filter
contact_text,,Yuqi Nie (Princeton),Junchi Yan (SJTU),Tian Zhou (Alibaba),Yong Liu (THU),Haoyi Zhou (BKU),Razvan-Gabriel Cirstea (AAU),Ailing Zeng (CUHK),Ailing Zeng (CUHK),Abhimanyu Das (Google),Boris N. Oreshkin (Element AI),Cristian Challu (CMU),Mingsheng Long (THU),Shaojie Bai (CMU),Jan Gasthaus (AWS),Tian Zhou (Alibaba),Benjamin Kedem,LEO BREIMAN (UC),Tianqi Chen (UW),G.E.P.Box (UW),Rob Hyndman (MON),Andrew C.Harvey (LSE)
contact_url,,ynie@princeton.edu,yanjunchi@sjtu.edu.cn,tian.zt@alibaba-inc.com,liuyong21@mails.tsinghua.edu.cn,zhouhy@act.buaa.edu.cn,razvan@cs.aau.dk,zengailing@idea.edu.cn,zengailing@idea.edu.cn,abhidas@google.com,boris.oreshkin@gmail.com,cchallu@cs.cmu.edu,mingsheng@tsinghua.edu.cn,shaojieb@cs.cmu.edu,,tian.zt@alibaba-inc.com,,,tqchen@cs.washington.edu,,Rob.Hyndman@buseco.monash.edu.au,
paper_url,,https://openreview.net/forum?id=Jbdc0vTOcol,https://openreview.net/forum?id=vSVLM2j9eie,https://proceedings.mlr.press/v162/zhou22g.html,https://proceedings.neurips.cc/paper_files/paper/2022/hash/4054556fcaa934b0bf76da52cf4f92cb-Abstract-Conference.html,https://ojs.aaai.org/index.php/AAAI/article/view/17325,https://arxiv.org/abs/2204.13767,https://ojs.aaai.org/index.php/AAAI/article/view/26317,https://ojs.aaai.org/index.php/AAAI/article/view/26317,https://arxiv.org/abs/2304.08424,https://arxiv.org/abs/1905.10437,https://ojs.aaai.org/index.php/AAAI/article/view/25854,https://arxiv.org/pdf/2210.02186v2/1000,https://arxiv.org/abs/1803.01271,https://proceedings.mlr.press/v89/gasthaus19a.html,https://proceedings.neurips.cc/paper_files/paper/2022/hash/524ef58c2bd075775861234266e5e020-Abstract-Conference.html,https://books.google.com/books?hl=zh-CN&lr=&id=8r0qE35wt44C&oi=fnd&pg=PR5&dq=Regression+models+for+time+series+analysis&ots=vd653g9LXv&sig=JPr8C-hETsPfWyuxTUlWgL0eKDA,https://link.springer.com/article/10.1023/a:1010933404324,https://dl.acm.org/doi/abs/10.1145/2939672.2939785,https://www.tandfonline.com/doi/abs/10.1080/01621459.1970.10481180,https://books.google.com.hk/books?hl=zh-CN&lr=&id=GSyzox8Lu9YC&oi=fnd&pg=PA3&dq=Fore-+casting+with+exponential+smoothing:+the+state+space+approach.&ots=1s3xJKnDr7&sig=Ahqibs7vQwVVfpBKlOthjMKfzzI&redir_esc=y,"https://books.google.com.hk/books?hl=zh-CN&lr=&id=Kc6tnRHBwLcC&oi=fnd&pg=PR9&dq=Forecasting,+structural+time+series+models+and+the+Kalman+filter.&ots=I6QXVxW_FJ&sig=mDFREQcdTPiCVXttJZNiooV5lqQ&redir_esc=y#v=onepage&q=Forecasting%2C%20structural%20time%20series%20models%20and%20the%20Kalman%20filter.&f=false"
code_url,,https://github.com/PatchTST/PatchTST,https://github.com/Thinklab-SJTU/Crossformer,https://github.com/MAZiqing/FEDformer,https://github.com/thuml/Nonstationary_Transformers,https://github.com/zhouhaoyi/Informer2020,https://github.com/zhouhaoyi/ETDataset,,,https://github.com/awslabs/gluonts/blob/dev/examples/m5_gluonts_template.ipynb,,https://github.com/Nixtla/neuralforecast,https://github.com/thuml/TimesNet,http://github.com/locuslab/TCN,,https://github.com/tianzhou2011/FiLM/,https://books.google.com/books?hl=zh-CN&lr=&id=8r0qE35wt44C&oi=fnd&pg=PR5&dq=Regression+models+for+time+series+analysis&ots=vd653g9LXv&sig=JPr8C-hETsPfWyuxTUlWgL0eKDA,https://link.springer.com/article/10.1023/a:1010933404324,https://github.com/dmlc/xgboost,https://www.tandfonline.com/doi/abs/10.1080/01621459.1970.10481180,https://books.google.com.hk/books?hl=zh-CN&lr=&id=GSyzox8Lu9YC&oi=fnd&pg=PA3&dq=Fore-+casting+with+exponential+smoothing:+the+state+space+approach.&ots=1s3xJKnDr7&sig=Ahqibs7vQwVVfpBKlOthjMKfzzI&redir_esc=y,"https://books.google.com.hk/books?hl=zh-CN&lr=&id=Kc6tnRHBwLcC&oi=fnd&pg=PR9&dq=Forecasting,+structural+time+series+models+and+the+Kalman+filter.&ots=I6QXVxW_FJ&sig=mDFREQcdTPiCVXttJZNiooV5lqQ&redir_esc=y#v=onepage&q=Forecasting%2C%20structural%20time%20series%20models%20and%20the%20Kalman%20filter.&f=false"
publication,,ICLR,ICLR,ICML,NeurIPS,AAAI,IJCAI,AAAI,AAAI,arXiv,ICLR,AAAI,ICLR,arXiv,arXiv,NeurIPS,Wiley,ML,KDD,JASA,SSBM,CUP
bib,,https://dblp.org/rec/conf/iclr/NieNSK23.html?view=bibtex,https://dblp.org/rec/conf/iclr/ZhangY23.html?view=bibtex,https://dblp.org/rec/conf/icml/ZhouMWW0022.html?view=bibtex,https://dblp.org/rec/conf/nips/LiuWWL22.html?view=bibtex,https://dblp.org/rec/conf/aaai/ZhouZPZLXZ21.html?view=bibtex,https://dblp.org/rec/conf/ijcai/CirsteaG0KDP22.html?view=bibtex,https://dblp.org/rec/conf/aaai/ZengCZ023.html?view=bibtex,https://dblp.org/rec/conf/aaai/ZengCZ023.html?view=bibtex,https://dblp.uni-trier.de/rec/journals/corr/abs-2304-08424.html?view=bibtex,https://dblp.org/rec/conf/iclr/OreshkinCCB20.html?view=bibtex,https://dblp.org/rec/conf/aaai/ChalluOORCD23.html?view=bibtex,https://dblp.org/rec/conf/iclr/WuHLZ0L23.html?view=bibtex,https://dblp.org/rec/journals/corr/abs-1803-01271.html?view=bibtex,https://dblp.uni-trier.de/rec/conf/aistats/GasthausBWRSFJ19.html?view=bibtex,https://dblp.org/rec/conf/nips/ZhouMWW0YY022.html?view=bibtex,https://books.google.com/books?hl=zh-CN&lr=&id=8r0qE35wt44C&oi=fnd&pg=PR5&dq=Regression+models+for+time+series+analysis&ots=vd653g9LXv&sig=JPr8C-hETsPfWyuxTUlWgL0eKDA,https://link.springer.com/article/10.1023/a:1010933404324,https://dblp.uni-trier.de/rec/conf/kdd/ChenG16.html?view=bibtex,https://www.tandfonline.com/doi/abs/10.1080/01621459.1970.10481180,https://books.google.com.hk/books?hl=zh-CN&lr=&id=GSyzox8Lu9YC&oi=fnd&pg=PA3&dq=Fore-+casting+with+exponential+smoothing:+the+state+space+approach.&ots=1s3xJKnDr7&sig=Ahqibs7vQwVVfpBKlOthjMKfzzI&redir_esc=y,"https://books.google.com.hk/books?hl=zh-CN&lr=&id=Kc6tnRHBwLcC&oi=fnd&pg=PR9&dq=Forecasting,+structural+time+series+models+and+the+Kalman+filter.&ots=I6QXVxW_FJ&sig=mDFREQcdTPiCVXttJZNiooV5lqQ&redir_esc=y#v=onepage&q=Forecasting%2C%20structural%20time%20series%20models%20and%20the%20Kalman%20filter.&f=false"
year,,2023,2023,2022,2022,2021,2022,2023,2023,2023,2020,2023,2023,2018,2019,2022,2005,2021,2016,1970,2008,1990
Seasonality_Yes,3117,12.263,161.074,19.041,15.19,14.301,107.957,19.628,20.938,14.566,15.794,13.557,10.927,121.335,149.83,13.537,19.183,12.79,13.404,19.868,26.386,57.409
Seasonality_No,4951,21.671,166.859,26.766,22.05,21.413,138.945,26.966,27.154,30.968,25.705,24.127,20.497,140.174,162.648,22.331,33.413,25.316,26.838,24.491,25.19,44.551
Trend_Yes,4259,10.679,184.125,13.917,11.709,11.216,133.424,14.435,13.463,13.747,11.583,11.09,9.247,136.243,180.218,11.442,16.92,10.832,11.221,11.686,12.986,50.062
