Dataset,Triformer,TimesNet,PatchTST,Non-stationary Transformers,NLinear,Linear,Informer,FiLM,FEDformer,DLinear,Xgboost,TiDE,TCN,AutoTheta,AutoETS,AutoCES,RNN1,Random Forest,N-HiTS,N-BEATS,Naive Seasonal,Naive Moving Average,Naive Mean,Naive Drift,Linear Regression,Kalman Filter,RNN,Arima,Crossformer,LightGBM
Seasonality_False,138.94503622316168,20.497369662322033,21.671234473539702,22.04957009559372,27.153511352018327,104.33663047522235,21.413370447486685,22.33114910926615,26.76645149440712,26.966001185964377,26.837666871862123,30.968421175489045,140.17355451585567,25.69747274615775,25.18999179035893,21.80528253097508,162.64835434039716,25.316454415522358,24.126547002808106,25.70502736863542,22.753136488806568,22.753136488806568,45.34045636604155,25.96142450320055,33.41338068552973,44.55070163164988,160.55335153670885,24.491106432986008,166.8591797385413,35.61360286495762
Seasonality_True,107.9567353883078,10.927450852604647,12.26334005502955,15.189807294450288,20.93764064859461,85.33995245625559,14.300834647356199,13.53667591633546,19.040526227461893,19.62764892645259,13.404059797343715,14.566236361899893,121.33506907549989,27.17936632624358,26.385648981884845,19.226790542521133,149.8299527987259,12.789743827157524,13.556817820043323,15.793592626253618,21.60597828237729,21.60597828237729,45.386469180755086,23.685795453808915,19.182796174040863,57.408591027668024,155.6116383727062,19.868132817567062,161.0742091116547,18.26327898350139
freq_Daily,71.53240822447555,19.546746084507532,20.66153956876576,22.204792958646667,24.89534808015382,51.94295642814829,21.10667631108266,20.506901791390025,25.421752145670766,26.79234506425358,25.922725175405667,26.1967585442107,77.60638685764191,24.65169490742419,25.82569167956598,24.45682983212545,114.2760402995482,25.388043587268243,23.46401703836368,23.515702478289082,23.78659862147482,23.78659862147482,42.84340763579375,24.51316491190269,26.46286753743099,22.004372042279012,112.61258321928842,25.98399838256346,120.25641421125671,
freq_Hourly,36.42075510630112,23.85850472955276,25.52955494499749,30.702499712474342,29.860181167713023,33.84864269080446,29.39561015111805,28.33680847272314,28.479770458604943,27.319420865886915,28.921457189356463,31.18081939355265,41.590111641809465,49.23469072091352,48.71372796737968,,77.35607072921941,24.273774740192707,24.469210392029616,24.060587224927833,49.58005232115617,49.58005232115617,43.16450179334832,50.21606249282833,28.473100968709723,70.38234476371454,70.49165923423483,36.71327132146891,73.12367416405658,
freq_Monthly,118.47545956015212,13.401884027264508,13.718449019680206,16.37771779058773,21.481260023363298,71.99620615578863,15.250472307422694,15.14790935344474,14.67788145091061,16.285455250196385,14.903312458232342,17.17190590576863,137.9809218101761,18.222760654366837,20.19073276720713,18.7495836245651,192.16782238372906,13.95508309142195,14.903879506598004,14.698464843155444,21.00110091136354,21.00110091136354,28.820315570439718,22.252471186333146,17.214198746514107,18.354947302292796,192.24951503667364,16.22646458253606,193.17749101462655,16.490505934049715
freq_Other,115.9901520792103,9.8533300677088,10.95239308027503,12.069171809915236,13.9160304773595,104.27625552867539,10.39029848424236,13.576041126357392,13.804114132441903,13.841096286702873,12.205525738083168,10.283164814511018,122.73908176918512,12.934662971848939,12.943725893916165,11.656829963974936,151.97029809087968,11.150674330410972,10.101885089032823,9.770143684144124,13.905457586459653,13.905457586459653,36.151574639666634,13.25789721567847,12.015374619443305,15.013137423276516,151.26441997493308,12.09694662604004,157.85790381957736,
freq_Quarterly,191.48944746792844,13.990656588331923,14.42508960877636,16.753241232484584,23.067454282598366,156.78920382132105,15.103315078676953,15.994358481303857,16.812966748809586,18.070196243924382,16.348247196302356,18.294773431343756,192.93893045613646,16.571540598566937,17.25114727793291,17.44026710767529,198.92972930837516,15.481911994819862,15.648044111316514,15.031471426362211,18.24149600901787,18.24149600901787,35.98846276682364,18.583168572620355,15.999938854118357,19.524276437269194,198.35945942587577,14.23486646221246,198.2377231435765,21.732783250701583
freq_Weekly,75.39233466030277,17.13724608270985,17.95749827941794,18.2702755247072,40.25472251251527,59.21001005469109,17.443097995784758,17.811245844712833,53.29270724796392,50.16367699563587,36.48215844179086,39.46143027655974,71.95945342462218,63.42593984254102,49.86945067515728,30.52547626222725,138.11106769807762,35.27619161288892,32.1955413582215,53.56004075175269,14.48990038440943,14.48990038440943,113.55874286568603,37.11205055959648,56.27948280781565,19.287578658662355,106.53399557250401,43.37100332731022,144.66108166532962,51.59264327739002
freq_Yearly,199.30726060925466,18.99019482976593,22.23719056428785,20.280997937323733,22.018131820557397,157.22099091533937,21.386476733373847,22.118398031139204,23.86350686025715,23.539994076530586,21.33280924655713,30.445624347268453,199.5991143277958,19.314349929665273,19.464488626267816,20.271608399486134,199.77129969823775,20.602325299758537,20.776267935366242,20.24661709937012,19.934896603823134,19.934896603823134,42.55438904668521,20.112343454858344,41.91875981567303,157.05078897291122,197.94557165386246,20.268028883905014,198.2114511751333,36.939018643433556
Trend_False,119.7600220954377,25.242729943739654,26.261028507251392,27.894302074203882,37.374428670637236,94.50339833993488,26.992524103343538,27.307319364963607,34.807741016978454,34.97198480761803,33.30665880787352,36.80183957135982,129.15270851586465,39.62929941474199,39.814335815501344,31.52789039516868,136.0764268280202,31.261565632678597,30.053486837107922,33.385195392631566,32.50661253996398,32.50661253996398,47.503343855932364,37.166310884355795,40.21038122207835,48.91058679595055,133.3987684261324,35.0194400085877,142.82384446150013,34.69300612837005
Trend_True,133.4238305669657,9.246896613517691,10.67853076830169,11.70866936448224,13.463362714030243,99.22675161617839,11.215913809589628,11.441857083358027,13.917465855951862,14.43525791106949,11.220633874552565,13.747218843056688,136.24278280803156,14.322204962286168,12.98589154950873,11.957478048287067,180.2183946288658,10.831672652178531,11.090256866267676,11.582533333555443,13.19063768432237,13.19063768432237,43.43977157958178,14.274984500201239,16.91971856624712,50.06167572335384,181.22216748786886,11.686040073051405,184.12522920454455,24.34768156540545
Stationarity_False,135.17731180616448,10.75378591702087,12.206029528489317,13.396850639367633,16.610151538972797,100.90198260651046,12.904253661911271,12.939982328075995,16.42450339526472,16.800375525177238,13.454571046893767,16.224771294774815,139.83571956968953,16.94694395703748,15.365349513974259,14.98108542239211,178.3119441306357,12.85312511866744,12.885163095392457,14.324534717859425,14.808806680616527,14.808806680616527,43.55447022661728,16.305623159899543,21.16799780762436,47.75710487967968,178.281175247411,13.941647057723776,183.26425546534477,27.269239072151393
Stationarity_True,114.32270150184584,26.119902219306645,27.023736330387795,28.538787334362457,37.30610553679243,90.97591422962927,27.5461159871256,28.171919782863522,35.12229364690726,35.433842392956805,34.2807411365506,37.594070971411455,122.19428706435816,40.645220125830754,41.51282189956277,31.215652461564115,129.73832538419884,32.23194801189118,31.07975651138233,33.519201578116565,33.87596508106932,33.87596508106932,48.1394601813549,38.614970825557585,38.31954700000927,52.23372108707854,128.36579981258356,36.21179514312868,135.8882317312139,31.228554415736134
Transition_False,144.5911907463046,9.435003874290501,10.984471314823937,11.39885485714372,17.038568948043924,110.83447684982667,10.859693308155311,11.62236251499407,21.93205348469322,21.215748705171407,16.403890664624303,19.142928057753522,146.94154009518297,20.905252847299113,20.089339429832503,13.553987393342078,173.6759649775058,15.90507590886741,15.284454450050722,19.78454540818558,11.328731856404724,11.328731856404724,61.19398552094935,14.6726229200248,25.628771079235406,56.75447662820545,172.32282940460613,18.520140673026273,180.77495371122993,31.45407030674076
Transition_True,117.24008272341514,20.868927639140594,21.93245274262692,23.70732126861241,29.013263258741162,89.35049453861564,22.97800343016827,22.97251811807868,24.802988759384096,25.74131980814217,24.544578212963895,27.663703199168307,125.13594710468807,29.23365239186707,28.724884303935497,25.50424097721238,150.62419825893033,23.002486893619874,22.671823480831737,23.031131200932304,28.376337098809625,28.376337098809625,36.6100233738772,30.83289142610677,29.17879963056721,45.520684935917224,151.0876038186157,25.01992870068524,155.69983783715605,26.486069407860885
Shifting_False,120.183007309727,21.881006649192795,22.76315959220297,24.25835540727404,30.673660861778213,92.45592896380693,23.983126479014736,23.944668762844838,27.81109196494446,28.464837814806025,27.310404492601098,31.617709217287153,128.54415100276245,31.01832353893204,30.949667794328537,26.881874738932108,148.94294631295725,26.254459861654418,26.022208045603886,27.347189047807436,28.604928667011492,28.604928667011492,38.18594186449515,31.76186271752503,34.251262389045344,48.15022211050643,148.2797017807066,28.02152438439145,155.03111982923267,29.072620329302772
