Dataset,Triformer,TimesNet,PatchTST,Non-stationary Transformers,NLinear,Linear,Informer,FiLM,FEDformer,DLinear,Xgboost,TiDE,TCN,AutoTheta,AutoETS,AutoCES,RNN1,Random Forest,N-HiTS,N-BEATS,Naive Seasonal,Naive Moving Average,Naive Mean,Naive Drift,Linear Regression,Kalman Filter,RNN,Arima,Crossformer,LightGBM
Seasonality_False,142.3032325233437,28.860555200599435,29.97411729677124,30.08919716697957,33.58159675469779,109.7685868651831,29.64972262420303,30.596226619763737,31.06716282572605,31.42489942161642,31.758098880273785,35.4785195749293,145.79213965077201,30.28754710518748,31.142062464713575,29.445919753975645,164.6896587072364,26.499969908374524,29.427324128167,29.105632311633485,23.5878976997765,23.5878976997765,45.85789869834168,29.13865733074594,34.94487375352346,52.63237547661682,166.90771198583207,28.73232239188423,169.1053407788145,37.9893478553308
Seasonality_True,118.35479865627072,22.56338032462035,23.89315208443304,27.247199691882706,29.761099106265675,94.16103450345523,25.921818121581246,25.142954471804273,26.011339069435007,27.034776435541573,16.69014579397459,24.806025398089066,129.28527877856348,31.88282053347805,32.32440944852104,30.790325690623327,160.64998478149397,14.007176440826601,24.03887527347501,23.819541455385483,22.890967493775317,22.890967493775317,46.60732583277536,25.04085795146548,22.000395599111073,62.62756699225231,166.53326364706234,26.01434612859795,168.72275861065833,19.53842814671338
freq_Daily,73.3279361548946,26.189283134599847,27.07358848927313,26.082710072695384,30.224399615912485,53.9607446065016,27.343493461505812,26.932819347078546,27.780019732387167,28.11844794846795,28.18613030655989,28.25895397692439,79.53564908986657,29.91814118470931,29.728669317224682,29.92588281328726,115.37941587575429,26.054371367284816,25.579136334758406,25.617557504520367,24.90264005937436,24.90264005937436,43.62585432980855,31.63860538226868,27.41479314229071,28.9683432110372,114.62233099516887,27.210786468303933,122.24982553282875,
freq_Hourly,36.554662688889046,23.985038513261074,25.674714987223652,30.855753995292332,30.01787905311655,34.010302974161775,29.52490607482371,28.50045317388033,28.623868684461243,27.471622359532773,29.368893516802185,31.401502555381388,41.760319900675185,49.52470001533252,48.947640228279504,,77.54232264711807,24.434700036412757,24.60022238679105,24.196799895836477,49.84307033205171,49.84307033205171,43.328194887269554,50.49409960891625,28.605517114273084,70.93933019765976,70.6166477056122,36.86317063318976,73.25358019507343,
freq_Monthly,118.49131493588195,13.40595522820636,13.722000863846693,16.381326275934743,21.48768338956253,72.01770202930877,15.254131723870973,15.151886019507115,14.681693765987626,16.289270803577967,14.90693975534741,17.17684796241628,138.02307437587422,18.22678376804771,20.19483595681117,18.754971524820057,192.18553216829548,13.958606049029516,14.907701085005591,14.702406402566368,21.005929638112594,21.005929638112594,28.82512645921307,22.257364068825115,17.21789418491456,18.361667235076876,192.27005450806035,16.230448888106945,193.1996663039917,16.494873470969747
freq_Other,116.02190020486474,9.873374209938738,10.971998664229602,12.111314447363446,13.936180356367814,104.34231201326337,10.415079654155942,13.595270596464202,13.826771973344066,13.870616749953214,12.237201641463189,10.314109513355076,122.78586203507793,12.954594517111882,12.963687699573079,11.681242553296041,152.01066467078655,11.170443250976023,10.126117689105044,9.795016740691045,13.925185423383883,13.925185423383883,36.177347985144,13.277620575535837,12.045380931553138,15.041049709498255,151.33581189774998,12.117369378759046,157.90734764144074,
freq_Quarterly,191.50105761116862,13.991983453772544,14.426392314288563,16.75477719152982,23.0694293620011,156.80095032191863,15.104631585898662,15.995623688095101,16.814315850199616,18.07159199624306,16.3496199659107,18.29576110378734,192.9535817189323,16.57299351842782,17.252619598525175,17.441904132538607,198.941397947729,15.483269875300246,15.649111733099724,15.032869200885628,18.242981589927847,18.242981589927847,35.99048905839724,18.584654968601996,16.00131023717416,19.526111000058997,198.3711555600715,14.235908696779084,198.2489965710434,21.734340226628117
freq_Weekly,132.5659603287831,101.22070471852328,102.04919663039995,108.39168483755874,103.91388685245319,122.62006228961721,101.4262352541977,101.5411381748896,102.16922174454231,103.60258442648517,85.4519645934776,102.74301717894878,133.269081043739,100.8955792253572,102.02239510910658,103.0266772223133,181.79424165583794,58.17746181242009,101.32366251167201,101.48563695422457,21.619401152588715,21.619401152588715,120.17038839305357,58.67713761438446,84.53388283149188,78.89649932098399,183.91590973172086,95.17490550516682,184.13901110257783,76.56412893562847
freq_Yearly,199.43858030195483,19.00554151037883,22.256229981673865,20.30030132682187,22.045728935733354,157.32278608401998,21.405130539496945,22.13519530207427,23.900012691235446,23.57362368339695,21.353750289167404,30.490597522366162,199.6992612754173,19.33036930430744,19.479657969916087,20.285309234635015,199.77949410003683,20.621545927715612,20.789540165137872,20.272992497874363,19.943743077142912,19.943743077142912,42.58197743521243,20.122539051856158,41.957022036934575,157.25174036256118,197.9858511157618,20.287689605641113,198.25020105378525,36.965841427875134
Trend_False,130.26394522667775,42.358282605686775,43.28901045529383,44.83805195953887,50.4462073696389,106.28028229899341,43.921403758664106,44.26280928641682,44.21504374910687,44.739735548595064,40.86616542812252,48.44567783121389,140.55960135259468,48.51250988900705,49.43994986278389,47.69285257525003,144.851686659307,34.257239157073,42.82073327887458,42.31342062838199,35.434449329842906,35.434449329842906,49.11826166773157,42.92827072157703,44.254094491713225,60.577255485121015,147.70512634486198,43.7740067366425,150.76285816304159,38.97793879998152
