Dataset,Triformer,TimesNet,PatchTST,Non-stationary Transformers,NLinear,Linear,Informer,FiLM,FEDformer,DLinear,Xgboost,TiDE,TCN,AutoTheta,AutoETS,AutoCES,RNN1,Random Forest,N-HiTS,N-BEATS,Naive Seasonal,Naive Moving Average,Naive Mean,Naive Drift,Linear Regression,Kalman Filter,RNN,Arima,Crossformer,LightGBM
Seasonality_False,2.006830667332151e+36,4.6466272482245303e+21,4.576296999711862e+21,1.0638296961059099e+17,5.528693177813141e+34,6.245410095787734e+22,4.694411906788575e+21,4.452413508951323e+21,4.522837786737424e+21,1.424259645007657e+34,1.1356119091720701e+36,2.6755324170730057e+34,4.2290027094038255e+34,3.172063835983885e+34,3.0800785376150323e+34,3.6071392500848143e+34,2.2113996514492497e+36,2.0432625435315838e+34,1.0691209436886011e+34,1.3991957639223119e+34,3.209692473281528e+34,3.209692473281528e+34,1.1383994054792933e+36,3.139143905455449e+34,2.822716342274943e+34,3.2041346342876985e+34,2.006830667332151e+36,3.1024049877887813e+34,4.118832532704128e+22,7855955803664.263
Seasonality_True,8416437752.959616,2059259071.9664826,1442528946.9154687,2979288003.174072,2533245903.12492,6079318780.65631,1834539599.7018921,1608038677.6508396,1304522063.6234994,1493482502.5140393,741112212.124182,21610571849.647976,8314705741.468531,7669324279.6848,8623945437.583939,3223895424.9738274,20945783268.13464,936479645.779084,1405083386.6630597,2010812821.938564,7739247682.276466,7739247682.276466,3761738515.9326386,8581488121.509429,2.1804598562338e+29,4393584266.653247,17297087926.963917,1380673767.522579,17295376252.432446,2186789476.55387
freq_Daily,6.695295575445741e+36,1.5509645902351149e+22,1.5274895579440694e+22,3.528835959570868e+17,1.8445121242151527e+35,2.084610905234537e+23,1.5669142909977157e+22,1.4861393701728984e+22,1.5096457879632931e+22,4.751691039375276e+34,3.788689058160997e+36,8.926254041056907e+34,1.4109024537909933e+35,1.0582808660347854e+35,1.0275922398741258e+35,1.1512146542823876e+35,6.695295575445741e+36,6.8168415451650075e+34,3.5668583505406093e+34,4.668071581657254e+34,1.0708347328313238e+35,1.0708347328313238e+35,3.7979888521078043e+36,1.047297943120615e+35,9.416567446774404e+34,1.0689804969244203e+35,6.695295575445741e+36,1.0350409093357316e+35,1.3747957394411443e+23,
freq_Hourly,29601823.962956555,820171.2686645786,3220765.8619311173,6885310.973935693,3467739.316102605,28825199.607024185,4911311.419849577,6686108.172192021,3293669.860185353,3237132.5859120777,3166630.7938973275,3823475.4242268857,76448321.76753777,34095059.35645032,33733172.662569076,,1065961181.961488,2179340.7374498816,2395532.1074326485,2034798.3688709512,33749131.375353806,33749131.375353806,30484938.65622096,33914917.05267468,610222.2470292259,44820949.29281234,1065959685.9585639,25234359.99652883,1066103434.3414847,
freq_Monthly,1318155226295153.5,3179363796586.3506,2393123635399.0005,4752386522195.77,5004417126650.089,1488363114865824.0,1722940103388.3691,5616811096052.146,5110405852518.753,123641847327.93925,45341202216.703705,214885860261203.3,2237480276883636.5,29493929677469.61,43054827484475.21,42839653539933.47,1318155971004224.8,34118932023.658905,134210198973051.66,746062671237818.4,38341556567.601006,38341556567.601006,96062504633405.08,29668429788046.99,9.441248855333782e+25,59875274458286.77,1318155966741939.0,29655016273249.01,1318155966593081.0,14579673100475.307
freq_Other,5865233646.458103,533695293.82457006,822023440.4909477,757096457.8664472,901524619.966531,7483647648.284313,702029555.54311,1100284065.5708814,1258123435.4051943,1244626292.0252428,1083521244.1393552,500169679.0315994,7160659657.465601,725534709.424145,555027807.8143291,551224603.5522825,73114833965.6251,1005533222.3207238,384268036.26843834,354523863.1201622,887486920.5638905,887486920.5638905,3402777833.1928387,700825633.6083131,634544646.2512223,610179300.9377307,72735179089.3895,720850368.3247205,72720374989.16565,
freq_Quarterly,690635530.3033341,20063181.53102235,15865340.811337324,49201969.00007011,109921886.25855151,804063605.1215861,24438448.428313527,17201178.456044175,41585967.93557285,40872009.312074795,19962499.632076778,32866669.10271859,819868628.8241601,51052170.961148374,53252319.39417553,59825880.9151766,693948267.8900424,21350465.25946175,16638261.52286491,28398548.00208524,79646066.6726538,79646066.6726538,200118174.10954383,83700124.64856647,22387445.09926175,62003640.956586264,691792860.9776524,23387632.52375968,691786890.1842753,62581385.9079033
freq_Weekly,10278059.72257868,135067.58204798697,173123.94209934628,144330.14258348194,194787.95975439218,1857275.4585868637,159298.1736036081,177767.5959247692,185535.34362249792,269134.86024513457,219279.17351014577,147716.0582236786,2525740.7885974785,180837.29788238433,176517.6372219591,215095.04029427812,24780217.23395929,211396.70706288316,128245.9361312712,143553.97040210734,185498.81533262026,185498.81533262026,9352310.613849133,186924.0650741354,48759020.379921295,203273.48571571568,24764154.143361043,162484.0394554525,24788420.554823004,256501.43686272125
freq_Yearly,2109341702226.0508,139094932768.97888,174197165527.60056,266243794929.7348,218890653400.74146,2470917879998.577,152387512836.6729,164700349177.90973,202229117984.15384,202616369247.33588,177881320963.93637,129495603241.3871,2763309942903.2095,124442147894.55415,152569870172.00684,98196964602.44246,6187900366797.612,160547058917.88132,27742810300.442936,17908036984.01145,221852382051.28467,221852382051.28467,898375295745.0117,165910752448.38568,7.669791460653407e+30,87150420865.95956,2109341365059.2822,161937861929.67325,2109341410178.7173,798283899826.8616
Trend_False,3.969315284678601e+16,4486338594204434.0,4642614398744475.0,1.0378375358016814e+16,6904355569798230.0,6.580093401055099e+16,3707183785903018.0,4820182803996880.0,4675986332247695.0,7737163156500042.0,3392093226370268.5,4439787588419319.0,8702482498567709.0,2012967757201307.0,3776167877358828.5,2204292774282059.0,4.392413507549179e+16,9984674999135004.0,3274414775639665.5,2470618452894296.0,1856817809404630.8,1856817809404630.8,2.0318802755669464e+16,1854491150297092.0,2.8419632065620707e+30,2987858399473977.5,4.104121733344902e+16,5712586468237161.0,4.104121781326673e+16,476086293.12715274
